source_apartment_id,recommended_apartment_id,rank,similarity_score
33,603,1,0.8555807771318267
33,605,2,0.8414687925990602
33,32,3,0.831356775741238
33,669,4,0.8273077605937241
33,302,5,0.8046489095582121
34,276,1,0.9197217176222355
34,510,2,0.9121777499010014
34,511,3,0.9121777499010014
34,124,4,0.9091345999047663
34,44,5,0.8867239947456398
35,79,1,0.858794685200121
35,325,2,0.8357749771137397
35,196,3,0.7480778647573593
35,30,4,0.675999341856016
35,316,5,0.6483601392469359
36,306,1,0.944797876991766
36,307,2,0.8571069820736995
36,308,3,0.8458713117884477
36,351,4,0.8128332898470356
36,259,5,0.7970695689801649
37,323,1,0.7811665277836993
37,235,2,0.773062961386097
37,384,3,0.6915002572314529
37,459,4,0.6644666224651493
37,236,5,0.6192961012201971
38,56,1,0.8828054357084695
38,302,2,0.8694666044419295
38,32,3,0.8269844495754355
38,669,4,0.8224858692898726
38,603,5,0.7993947569424783
39,144,1,0.8510063927898083
39,143,2,0.8241554955401735
39,266,3,0.8237305628967296
39,66,4,0.8190802049664573
39,195,5,0.8160669472119837
40,206,1,0.9956456513266025
40,562,2,0.9649002810166712
40,501,3,0.9609523948934916
40,538,4,0.9436934882986375
40,245,5,0.9293790642546452
41,356,1,0.9627590020159053
41,187,2,0.9050891456312656
41,40,3,0.9018868575315258
41,206,4,0.8925499357454735
41,562,5,0.8843617863324518
42,299,1,0.7871094685514135
43,293,1,0.767076595023007
43,294,2,0.7141601259773454
43,263,3,0.6190376812376589
43,50,4,0.6105227825971766
43,531,5,0.5125330748484315
44,526,1,0.9691876278639324
44,572,2,0.9325738634874446
44,276,3,0.907270233914213
44,510,4,0.907157937176732
44,511,5,0.907157937176732
45,46,1,0.8752854955750587
45,192,2,0.8351594710238776
45,331,3,0.8110179569823348
45,534,4,0.8086379792166292
45,193,5,0.807414899203987
46,534,1,0.8777790084328431
46,45,2,0.8752854955750587
46,527,3,0.8372612828018974
46,528,4,0.8372612828018974
46,44,5,0.8110922569019067
47,234,1,0.8566213487924104
47,210,2,0.8235499808593137
47,165,3,0.7881035296484526
47,460,4,0.7684716641180451
47,315,5,0.7191062296943289
48,49,1,0.999780137411717
48,387,2,0.9587130819047819
48,126,3,0.9066221947262216
48,41,4,0.8739517641284634
48,500,5,0.8708367521385808
49,48,1,0.999780137411717
49,387,2,0.9543066764100494
49,126,3,0.9062017328178386
49,41,4,0.8760678561332855
49,500,5,0.8704700169691012
50,263,1,0.947152014807112
50,294,2,0.8882425012797585
50,293,3,0.8846577580758498
50,336,4,0.7799752997056161
50,465,5,0.7156583341744736
51,582,1,0.8808239949775744
51,599,2,0.8780396394874626
51,176,3,0.856177334170233
51,328,4,0.832401257585351
51,361,5,0.8301402801062547
52,250,1,0.9048793442170718
52,320,2,0.8445711994732727
52,318,3,0.7813523698897722
52,321,4,0.7808482039401565
52,319,5,0.7755122391012486
53,250,1,0.8734674612445023
53,577,2,0.8516914822369052
53,580,3,0.7907206653882405
53,49,4,0.7794551545792952
53,578,5,0.7790661396647535
54,285,1,0.8253122015805341
54,326,2,0.7816365201750901
54,221,3,0.7391267698514397
54,206,4,0.7157206583841049
54,40,5,0.7142384611163266
55,116,1,0.7156171532478377
55,291,2,0.3863259410933558
55,27,3,0.3853001053606269
55,88,4,0.35500379802270465
55,264,5,0.312396275981616
56,38,1,0.8828054357084695
56,669,2,0.8191020441501367
56,302,3,0.7665934811739319
56,530,4,0.7451231289705716
56,360,5,0.7309405853477274
57,58,1,0.9461193966316738
57,127,2,0.9268957209232569
57,128,3,0.9208967272502849
57,338,4,0.8901051700777659
57,160,5,0.8483304268912025
58,128,1,0.9720367824579342
58,57,2,0.9461193966316738
58,127,3,0.9268957209232569
58,160,4,0.9007150925831245
58,509,5,0.8562050923547782
59,473,1,0.9275440872487687
59,215,2,0.9209678442207337
59,216,3,0.9198988465421155
59,472,4,0.8560565793847282
59,61,5,0.8507286415679114
60,61,1,0.8537759438170438
60,213,2,0.8509933575648643
60,216,3,0.8491168015780417
60,472,4,0.8444252644020421
60,473,5,0.842536454521514
61,472,1,0.9928830837872122
61,213,2,0.9306031144215811
61,216,3,0.9304323737379673
61,473,4,0.9226320076857906
61,215,5,0.9080139672846118
62,215,1,0.7606383894764727
62,60,2,0.7436680967027287
62,59,3,0.7404306870658811
62,248,4,0.6926222986680463
62,247,5,0.6568648329969505
63,471,1,0.9233994674258139
63,163,2,0.8994848170893482
63,167,3,0.8896469539577458
63,162,4,0.884823930454305
63,190,5,0.8682965747806835
64,227,1,0.7620260958115893
64,228,2,0.7620260958115893
64,225,3,0.7141175311982817
64,226,4,0.7141175311982817
64,252,5,0.6922411270412083
65,255,1,0.9392161059409814
65,340,2,0.9099024654553821
65,254,3,0.8971278840097243
65,194,4,0.8944507578200567
65,265,5,0.8855407558990931
66,195,1,0.9996599155745803
66,266,2,0.9982715891536119
66,279,3,0.9975569801346668
66,340,4,0.9351982088402201
66,254,5,0.9351712270882846
67,313,1,0.8558919420442386
67,27,2,0.8345427887513815
67,80,3,0.7057332801741514
67,291,4,0.6808255905899673
67,264,5,0.6771406390403238
68,202,1,0.633155871266604
68,576,2,0.5196840152162221
69,70,1,0.9322734046581744
69,185,2,0.9232168738228851
69,171,3,0.8368361503635945
69,207,4,0.7675451220814977
69,81,5,0.7375706779873379
70,69,1,0.9322734046581744
70,185,2,0.8849828194967522
70,171,3,0.8713990550220421
70,207,4,0.8112645486926088
70,81,5,0.6796812792684364
71,581,1,0.7990125491329848
71,249,2,0.7269223584648328
71,198,3,0.6957090567660357
71,201,4,0.6850899224864078
71,544,5,0.6611204462453181
72,73,1,0.8667813185278065
72,74,2,0.7947294401956772
72,211,3,0.7863062688168831
72,494,4,0.782181795988131
72,225,5,0.761482830340645
73,74,1,0.9259234757296211
73,72,2,0.8667813185278065
73,211,3,0.8575924472032289
73,494,4,0.8294573006427038
73,225,5,0.7227020833921411
74,73,1,0.9259234757296211
74,494,2,0.8217306439885478
74,72,3,0.7947294401956772
74,227,4,0.7761680047914253
74,228,5,0.7761680047914253
75,150,1,0.9999740145102887
75,151,2,0.9659326149087066
75,152,3,0.9360396149469156
75,149,4,0.936026502891432
75,78,5,0.9342905284814261
